9/16/2016 14:40:43	 # For reference only.  This entire column is a COMMENT!	/mods/extension/dg_importIndex	/mods/identifier[@type='local']	/mods/subject/cartographics/coordinates	/mods/titleInfo/title	/mods/titleInfo[@type='alternative']/title	/mods/name[1]/namePart	/mods/originInfo/dateCreated	/mods/originInfo/dateIssued	/mods/abstract	/mods/note	/mods/subject[@authority='lcsh']/topic	/mods/subject/topic	# ignored	/mods/classification[@authority='local']	/mods/location/shelfLocator	/mods/physicalDescrption/note	/mods/note[@type='reproduction info']		/mods/note[@type='provenance']	# replaced in constants	/mods/originInfo/publisher	OBJ	/mods/genre	/mods/originInfo/dateCaptured		/mods/extension/note[1][@displayLabel='Recorded By']	/mods/extension/note[2][@displayLabel='Modified By']
# PDID Headers  -->	 PIDs	Import Index	Image_number	Latitude_Longitude	Title	Alternative title	Creator	Date_original	Date_original	DescCombined	NotesCombined	Subject	Location_depicted	Ordering_info	Finding_aid	Physical_location	Object_description	Digital_reproduction_info	Date_digital	Acquisition	Restrictions	PublisherCombined	Filename	Type	Date_created	Date_modified	Record_created_by	Record_modified_by
	 grinnell:13869	602	ms107_blo001	40.751331,-92.414386	Davis County Court House, Bloomfield, Iowa	Davis County Courthouse|		1980	1960-1980	The courthouse was built in 1877, patterned after the so-called "General Grant" form of architecture. This building is considered to be unique, attracting the attention of visitors from far and wide.--photo verso.|Listed on the National Register of Historic Places. Number 78853.	Color lithograph print, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Davis County (Iowa)|Bloomfield (Iowa)|Government facilities|Court houses|Courthouses|	100 Courthouse Square, Bloomfield, Davis County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_davblo001	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Adams, F.M. (Bloomfield, Iowa)|	lib_isc_davblo001-sc.jpg	Postcards	2007-06-25	2016-08-31	Sharon Clayton	Sharon Clayton
	 grinnell:13653	386	ms107_br001	41.730353,-92.445466	St. Patrick Catholic Church, Brooklyn, Iowa	Saint Patrick Catholic Church|		1920	1920?	Jackson Street looking northeast. The existing St. Patrick Church, a 44-by-90 foot structure with an 80-foot tower, was dedicated Oct. 2, 1912. 1920 postmark.|	Real photo, undivided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Churches|Catholic churches|	215 Jackson Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr001	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	AZO|	lib_isc_powbr001-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
	 grinnell:14033	766	ms107_br002	41.730353,-92.445466	Catholic Church, Brooklyn, Iowa			1910	1910?	In 1862, Brooklyn Catholics raised a cross over their first church, a 20-by-30 foot building that later doubled in size thanks to an addition. The building also served as a Catholic school. A larger church was constructed 11 years later in 1883,|but was destroyed in a gas explosion in August 1911. a visiting priest rushed inside to save the Blessed Sacrament. He later crawled out of the church with his clothes burned off and his skin scorched. 1910 postmark.	Real photo, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI) & The Catholic Messenger website (http://www.catholicmessenger.net/2012/05/brooklyn-church-to-mark-100-years/)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Churches|Catholic churches|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr002	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr002-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
	 grinnell:14032	765	ms107_br003	41.731572, -92.445364	Christian Church, Brooklyn, Iowa			1920	1900-1920	|	Real photo, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Churches|Protestant churches|Christian churches|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr003	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr003-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
grinnell:13485	grinnell:13485	218	ms107_br013	41.728178, -92.446164	I.O.O.F. Hall, Brooklyn, Iowa	Independent Order of Odd Fellows Hall|IOOF Hall|	McDonald Photo	1914	1914?	The Independent Order of Odd Fellows was founded on the North American Continent in Baltimore, Maryland, on April 26, 1819 when Thomas Wildey and four members of the Order from England instituted Washington Lodge No. 1.|Odd Fellows, and Rebekahs after they came into existence in 1851, visited the sick as a matter of course. Odd Fellows and Rebekahs continue to this day to make special efforts to visit the sick. Number 20.	Real photo, divided back with KRUXO logo.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Organizations' facilities|Fraternal organizations|Stores & shops|C.W. Ormiston & Co.|Kerr Bros. Dry Goods		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr013	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Studio, The, H.S. McDonald Proprietor (Brooklyn, Iowa)|KRUXO	lib_isc_powbr013-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# Blank values in the five cells above are provided so that import of this data will attempt to create ONLY five new objects.  ALL other rows are comments and will not be imported as such!																												
# grinnell:13842	 grinnell:13842	575	ms107_br004	41.733775,-92.443710	Grace M.E. Church, Brooklyn, Iowa	Grace Methodist Episcopal Church|		1910	1900-1910	|	Color lithograph print, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Churches|Protestant churches|Methodist Episcopal churches|	603 North Clay Street, P.O. Box 27, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr004	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr004-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14031	 grinnell:14031	764	ms107_br005	41.732728,-92.443839	Presbyterian Church, Brooklyn, Iowa			1910	1900-1910	Number 61790.|	Color lithograph print, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Churches|Protestant churches|Presbyterian churches|	503 Clay Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr005	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-18	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	(Brooklyn, Iowa)|	lib_isc_powbr005-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14030	 grinnell:14030	763	ms107_br007	41.732728,-92.443839	Presbyterian Church, Brooklyn, Iowa			1925	1915-1925	|	Color lithograph print, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Churches|Protestant churches|Presbyterian churches|	503 Clay Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr007	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-18	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr007-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
